"Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Industrial_Vicinity","Population_Density"
30.7,99.1,57.4,74.7,40.7,17.9,2.85,3.1,761
40.4,59.6,5.1,17,30.5,11.7,1.35,8.9,673
23.6,50.2,0.4,3.7,12.7,7.4,1.04,14.2,340
23.8,73.6,36.9,42.2,28.3,5.7,1.07,15.3,555
47,95.9,4.5,19.7,40.4,8.7,2.69,3.2,739
31.2,51.4,28.1,41.1,15.6,12.1,1.44,5.7,386
35.8,87.2,5.2,15.7,45.1,23.3,1.63,4.7,809
21.1,55.8,28.7,42.8,23.6,6,1.52,7.5,424
25.6,63.4,16.1,20.9,24.1,2.9,1.04,10.9,303
25.7,64.5,19.7,28.4,31.1,7.8,1.3,7,521
48.8,92,2.4,24.9,38.2,16.9,2.84,3.7,664
34.9,86.4,9.2,28,36.9,9,2.08,7.1,728
30,67.1,47.1,61.3,22.1,7.3,1.82,5.7,639
32.6,82.7,71.2,87.5,30.3,15.8,2.31,6.3,712
30.1,80.9,4.6,15.3,29.6,9.6,1.71,5.2,332
19.8,54.8,4.6,17.5,24.3,14.5,1.52,5.6,637
34.7,86.1,14.6,26.3,22.2,10.6,1.8,5.8,643
34,83.2,19.3,39.1,45.1,21,2.28,9.9,496
22.7,68.4,14.6,25.8,26.5,3,1.37,5.4,321
33.2,60,54.5,65.5,20.2,7.9,1.42,9,418
23.5,56.5,24.8,31.9,17.5,6.2,1.01,11,329
26.5,60.4,14.5,17,23.4,8,1.13,12.5,396
31.3,75,37.8,47.1,32.6,11,1.87,5.6,451
27.7,54,17.6,23.2,24.6,11.1,1.27,7.8,638
23.7,55.9,27.7,37.2,16.2,2.1,1.03,12.1,307
29.3,42.3,20.7,25.3,15.4,6.2,1,11.8,524
31,65.1,7.6,8.9,23.4,4.2,1.11,13.7,580
22.7,89.6,19.5,35.4,27,10.8,1.37,6.3,632
29.1,52.3,15.2,32.4,25.4,8.8,1.47,6.4,663
30.1,54.7,5.2,7.2,30.1,18.6,1.65,5.8,520
24,68.7,18.6,31.1,30.6,7.3,1.44,6,588
39,76.1,9.4,22,37,14.4,2.45,6.2,533
25.9,56,36.7,38,14.4,6.7,1,10.4,572
38.4,73.3,78.9,94.5,23.9,23,2.03,4.1,615
27.5,85,57.1,72.3,33.7,9.6,1.86,5.4,537
18.5,61.3,5.6,8.9,21.5,7.2,0.86,10.8,226
33.7,54.1,5.2,15.5,34.5,6.8,1.5,5.4,367
35.4,73.5,14.6,24.3,33.2,10,1.3,5.5,668
22.7,70.9,15.8,19.6,17.4,5.6,0.99,11.4,516
20.2,52.4,11,14.6,12.2,4.4,0.95,18.7,418
