"Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Industrial_Vicinity","Population_Density"
31.9,74.5,31.9,40.6,36.4,9.7,1.45,6.7,494
22.2,46.8,0.9,5.7,24.3,5.7,0.93,15.6,245
26.5,76.9,2.5,7.6,19.6,4.5,1,11.3,500
20.9,68,3.3,8.8,21.9,4.1,1.08,10.5,538
32.5,55.8,1,13.5,34.3,9.7,1.84,6,325
57.7,77.3,22.8,42.8,33.2,20.4,3.03,3.9,810
29.7,64,2.5,4.3,16.8,6.5,0.98,10.3,445
37.7,83,109.4,119.8,43.1,11.3,1.64,6.1,614
43.3,95.1,20.3,53,37.9,21,2.08,6.3,581
29.2,51.8,0.3,4.6,16.6,6.5,0.89,14.2,291
28.1,42.5,0.3,5.1,16.1,5.7,0.99,11.6,326
29.5,62.3,3.4,12.5,17.9,6.7,1.05,10.5,439
30.1,93.4,7.8,14.4,21.5,11.8,1.5,5.1,585
23.6,47.8,3.8,6.4,14,3.3,1.09,10.4,209
25.1,53.9,3,10.4,15.6,5.9,0.89,11,201
40.5,70.4,35.8,44.7,22.2,9.7,1.33,5.5,398
20.2,54.7,25.8,33.6,21.1,6.7,1.06,10.4,598
29.9,78.9,11.6,26.1,17.5,5.3,1.49,6.6,533
24.7,65.4,0,2.3,21.9,3.9,0.99,13.7,410
25.3,73,6,12.1,23,8.9,0.97,11.2,571
24.6,49.7,25.1,26.5,16.4,7.9,1.22,11.2,236
33.6,74.3,16.1,36.2,40.1,18,2.24,3.4,655
23.1,72,0.4,7.5,13.9,8.1,0.95,10.2,310
23,66.7,8.8,12.3,16.8,4.8,1.08,10.4,316
25.8,77.7,21.7,29.9,13.6,6.3,0.85,12.4,549
29.9,86.3,8.3,19.9,21,7.9,1.44,9.1,487
45.8,96.4,0.4,10,34.1,11.9,1.9,11.6,374
28.6,45.6,56.8,64.8,30.2,7,1.42,7.6,681
42.6,94.6,17.9,30.1,44.3,4,1.91,2.6,525
22.9,62.2,18.8,26.5,29.4,4.7,1.23,8,536
33.5,90.8,7,14,31.1,9.1,1.77,6.9,672
40,70.3,47.8,56.7,32.4,25.1,1.71,5.5,348
37.6,47.8,45.5,49.8,27.7,13.9,1.25,10.3,511
34.9,96.2,48.5,66.5,29,15.2,2.4,6,569
26.6,67.5,5,6.7,24.6,2,0.96,10.9,444
33.5,78,9.1,30,38.1,10.9,2.08,3.7,539
23.3,52.6,9.4,17.5,21,12.1,1.41,10.8,498
28.7,78.9,26.8,38,36.2,6.2,1.69,5.4,484
33.8,53.7,11.2,30.1,25.8,10.6,1.23,5.3,640
22,56.3,5.7,12.5,16.8,6.1,1.01,12.2,230
39.5,70.2,5.4,24.3,38,0.1,1.85,4.3,616
40.6,76.8,39.2,60.7,33,18.6,1.85,3.4,686
25.2,64,2.4,6.9,16.6,2.8,1.07,10.3,508
26.7,61.6,12.9,21.1,20.3,7.5,0.99,10.7,577
37,78.3,12,24.3,23.7,6.1,1.7,7.6,485
