"Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Industrial_Vicinity","Population_Density"
24.7,51.4,3.5,9.4,14.6,4.3,0.85,11.6,215
29.1,41.6,22.5,25.3,19.6,5.8,0.99,11.2,263
42.5,100.6,38.5,52.1,41.3,32.1,2.45,3,592
34.4,54,15.7,28.5,28.9,17.2,1.58,8,487
30.9,78.3,10.5,24,35.2,15.4,1.35,11.6,326
33.7,83.2,1.6,25.2,34.3,12,2.59,6.2,551
25.1,49.8,0.1,6,22.4,3.3,0.73,11.8,510
22.2,81.3,23.1,37.3,32.2,9.1,1.39,5.6,576
32.2,60.7,48.9,65.1,41.1,14.4,2.79,2.9,875
35.6,103.8,74.5,93.3,31.8,23.6,2.04,20.8,757
35.2,51.3,0.5,16,36.2,11.6,1.59,5.3,694
19.6,65.5,33.8,39.8,30.4,11.9,1.47,6.1,629
36,75.2,4.7,10.5,33.5,0.4,1.72,6.5,336
29,67.2,14.9,20,24.3,6.5,0.84,10.2,524
18.1,62.9,23.2,26.6,12.7,5.1,0.92,12.2,476
21.2,55.9,7.8,10.7,19.7,7.6,1.14,12.1,436
29.3,74.8,7,13.3,19.8,5.2,1.05,11.6,539
34,104.3,25.9,44.1,41.7,15.9,2.35,7.1,676
41,98.3,96.1,122.2,47.2,27.7,2.97,4.1,686
40.1,80.2,36.5,49.6,30,8,2.13,3.7,468
24,39.1,5.1,14,14.8,2,1.02,10.1,242
25.6,79.9,2.3,5.6,22.3,7.1,0.87,10.5,516
25.5,70.1,5.3,5.6,25.8,7.8,0.96,16.6,502
29.6,83,4,14.1,22.2,3.2,1.05,11.9,225
22.4,52.4,2.8,11.1,19.1,6.3,0.83,10.3,339
23,86.2,9.1,25.3,34.8,12.5,1.99,3.9,559
28.4,76.2,16.8,28.7,30,8.2,1.64,5.7,644
26.5,69.9,31.7,46,21.4,17.2,1.64,9.6,739
32.7,86,7.5,17.3,31,15.3,1.3,5.8,683
25.6,63.4,16.1,20.9,24.1,2.9,1.04,10.9,303
30.7,76.4,18.3,31.9,27.6,11.6,1.54,5.9,516
36.3,60.8,19.8,29.7,22.1,14.6,1.27,16.3,495
30.1,91,32.1,38.5,23.7,10.6,1.44,6,363
27.3,72.1,20.4,25.9,24.7,2.8,0.83,10.7,238
48.6,83.7,75.8,98.3,52.7,17.1,2.02,3.6,843
36.1,61.6,1.1,10.7,21.5,8.5,1.76,7,567
25.5,59.8,7.7,13.1,16.4,2.6,1.05,13,244
24.3,49,14.6,21.3,21.8,5.4,0.96,11.8,441
27,67.8,24.8,28.9,12.9,3.9,1.1,14.7,559
30.1,78.4,6.5,24.9,28.8,6.6,1.98,7,569
23.7,75.4,8.4,15,24.2,2.6,1.01,11.5,275
52.3,74.5,14.9,24,29.7,19.3,1.78,3.6,515
31.7,51.8,30.9,45.9,21.7,7.4,1.08,6.9,460
30.4,72.9,10.9,25.7,29.3,8.9,1.58,5.3,655
20.5,58.3,1.8,6.7,14.6,4.8,0.78,16,260
34.3,89.5,9.4,15.6,28.4,9.4,1.48,6,505
22.6,72.2,20.1,23.5,17.9,2,1.13,11.9,581
30.9,49.5,0.3,5.5,20.1,3.5,0.93,11,237
22.5,73,0.2,6.2,15,5.5,0.95,14.2,543
23.3,58.4,1.6,7.3,21.4,4,1.08,12.3,438
29.1,58,8.9,13.8,14.6,5.1,0.97,11.3,582
37.3,88.5,139.8,150.6,26.7,17.2,1.75,3.7,668
39.8,82,14.1,22.2,32.7,12.8,1.26,5.3,457
22.9,66.9,7.8,16.3,21.8,8.1,1.07,10,435
22,51.1,26,27.3,23,8.2,1.03,14.4,384
24.8,57.8,8.8,10.5,15.3,4.6,1.05,12.4,430
32.3,69,1.1,13.5,23.9,9.9,1.39,5.8,461
37.3,82.2,11.2,32.1,36.6,17,1.91,3.5,831
35,101.3,108.6,124.5,38.5,11.8,2.22,4.4,511
22.4,69.3,2.2,8.4,19.6,3,0.92,10.2,339
34.7,85.2,30,42.1,36.6,5.2,1.55,7.6,448
33.1,99.2,17.6,47.1,41.1,26.4,2.45,6.8,623
30.5,71.8,26.3,33.4,14.4,8.5,1.11,10.3,534
49.8,79.3,40,59,19.9,19,2.41,4.1,829
27.3,71.6,30.3,35.3,27.8,6.6,1.03,11.2,237
27.4,74.8,2.1,7.5,23.4,6.8,1.22,10.5,431
38.1,69.3,6.5,23.6,41.6,16.5,1.46,6.4,806
24.1,51.4,37.6,41.3,15.7,8.8,1.01,11.1,244
28.3,63.1,59.9,68.3,20.7,0,1.22,5.1,399
23.8,58.4,13.1,23.2,11.3,6.3,0.94,10,437
24,60.3,1.5,8.1,22.2,6,1.14,11.1,301
23.4,54.7,4,12.3,24.1,2.8,0.87,10.2,433
27.4,67.3,41.8,52.9,22.4,12.4,1.65,9.6,446
47.7,69.2,41.8,50.7,38.3,22.2,2.58,5.9,651
29.9,78.6,25.1,30.1,26.5,7.2,1.49,7.3,323
46.6,81.9,6.6,31.9,54.9,11.8,2.19,2.8,734
26.3,80.1,3.2,9.7,20.2,6,1.03,12.5,269
28.8,69.1,2.3,16.8,25.2,7.7,1.6,8.7,643
43.3,69.3,6.6,19.3,34.3,11.3,1.99,4.3,500
44.7,100.3,79.8,104,51,17.9,2.62,4.9,574
23.5,43,14.6,19,23.1,1.7,1.14,12.7,297
25.4,74.2,40.6,46.1,19.7,9.9,1.32,6.1,459
32.3,74.5,7.4,9.9,24.2,17.8,1.67,5.1,611
34.7,88.9,8.9,16.1,33.3,8.5,1.19,6,447
22.1,56.2,6.8,12.7,25.4,4,0.93,12.5,389
30.7,80.5,19.9,34.2,19.9,8.4,1.43,6.8,527
39.2,57.5,122.3,134.5,41.2,10.1,2.4,3.9,730
32.1,75.6,16.2,21.1,18.9,12.4,1.44,9.3,405
