"Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Industrial_Vicinity","Population_Density"
34.5,107.1,5.8,21.3,22.7,39.6,2.17,3.9,676
35.9,61,8.3,18,21.4,16.3,1.41,11.6,613
27.8,67.4,7.3,11.4,13.1,2.3,1.17,13,528
36.4,107.9,16.4,32,25.7,14.7,2.03,3.6,686
21.6,77.6,5,10.6,17.6,2.5,0.94,11,591
28.2,86.1,47.1,62.3,36.7,11.3,1.81,7.5,551
31.6,61.9,46.9,46.9,17.9,4,1.46,5.4,339
22.2,61.2,2.4,5.8,21.6,3.8,1.13,11.5,459
39.8,84.9,33.8,51.8,29.2,15.9,1.92,7.6,559
37.1,97.7,11.7,27.3,31.4,17.8,1.87,9.6,675
36.9,63.1,25.6,34.4,22.9,10.9,1.31,5.3,646
28.9,62.4,4.8,10.7,17.7,4.3,0.86,12.1,296
24.9,45.7,3.1,9.4,18.8,7,1.08,10.3,275
22.2,57.7,6.3,12.5,24.5,7.8,1.11,12.6,352
46.4,102.3,11.9,21.2,35.9,15.2,2.91,6,776
29.9,78.1,57.8,60.5,26.5,11.6,1.19,8.9,578
29.9,72.8,59.1,70,24.4,26.2,1.97,6.7,465
24.6,51.3,3.9,8,21.7,5.9,0.98,12.8,454
32.2,57,22.8,34.4,25.7,5.8,1.5,7,509
33.9,76.5,3.5,8.3,21.9,10.8,1.4,5.1,345
34.7,68.8,35.1,59.4,22.7,10.3,2.33,2.6,816
44.9,103,8.1,28.8,50.1,35,2.54,3.9,821
24.6,46.5,2.7,9.2,18.4,3.8,1.09,10.2,296
25.8,62.6,11.7,16.7,10,6.6,1.01,15.8,413
22.3,65.4,4.8,6.2,24.6,5.7,1.11,17.6,395
48.8,95.8,9.8,28,36,33.7,2.59,2.6,586
30.6,44.2,12,16.4,14.7,2.9,0.99,12.1,569
24.1,55.2,7.8,11.6,17.7,6.1,0.95,10.9,461
30.4,44.2,7.8,11.4,22,5.9,0.92,11.3,446
25.6,80.7,15.7,18.4,15.3,8.1,0.94,12.4,341
23.5,41.3,5.4,8.4,24.9,7.9,1.12,10.7,360
31.3,86,60.5,65.1,29.3,1.7,1.68,7.8,655
24.2,54.1,3.3,6.3,17.4,9.8,1.11,14.6,428
23.6,76.6,0.5,16.3,28.2,11.9,1.55,6.2,514
40.9,93.8,3.4,26.7,44.6,10.2,1.75,3.7,759
21.9,48.9,6.7,11.1,13.7,7.1,0.93,11.4,549
26.6,92.9,31.8,51.9,35,10.2,1.42,6.1,526
27.4,54.4,6.2,10,24.7,4.2,0.92,12,339
22.2,65.9,7.9,13.5,14.3,5,0.89,11,390
36.4,72.1,37.2,45.7,29.1,9.6,1.45,9.8,312
31.6,81.1,18.7,30,31.6,12.3,1.45,5.5,664
23.3,48,10.8,16.7,22.9,3.2,0.97,11,272
29,50.4,4.8,18.9,26.4,9.4,1.75,9,302
32.3,82,8.8,18.7,29.8,14.7,2.03,5.7,600
32.2,103.1,31.8,39.9,34.3,7.3,1.58,4.9,402
32.9,97,10,32.7,39.7,12.4,2.24,4.3,640
26.6,62.6,49,60.6,25.6,12.6,1.61,6.7,391
23.8,70.3,0.8,12.7,17.8,11.1,1.42,5.5,606
35.5,86,75.7,86.8,19.8,12.1,1.79,8.6,612
30.1,72.9,0,5.9,26.5,8.1,1.21,13,569
30.3,76.3,9.2,20.7,38.4,17.2,1.61,3.6,726
31.2,93.7,6.3,10.9,19,14.2,1.51,7.1,344
32.8,51.1,8,13.4,13.3,4.6,0.93,11.9,410
34.8,66.4,10.7,17.1,20.8,4.1,1.08,12.9,353
28.4,82.6,2,14.6,27.4,3.7,1.37,5.9,339
28,83.3,6,4.5,34.1,4.6,1.65,5.8,475
32.3,65.7,8.7,19.1,28.3,11.6,1.36,6.4,322
26.3,49.6,6,8.9,24.2,9.8,1.06,10.6,199
38.2,54.8,43.9,53.5,21.1,9,1.47,5,485
23.3,48.6,18.3,24,20.1,5.1,1.14,10.2,263
21.3,71.5,13.4,17.3,19.1,1.1,1.07,11.1,280
31.3,101.5,33.4,52.8,28.7,18.2,1.97,7.6,488
28.9,75,17.8,26.6,20,17.2,1.53,6.9,346
29.6,88.9,16.3,23.7,18.7,9.6,1.37,6.9,498
29.9,78,25.4,35.4,37.4,10.6,1.5,6.4,533
22,50.1,4.9,10,23.8,2.4,1.05,12.8,493
27.8,66.9,12.1,14.6,25.5,4.5,1.06,13.9,442
41.2,93.9,12.4,31.2,31.3,18.7,2.16,5.5,568
26.6,72.4,30.3,31.5,22.5,4.4,1.05,11.8,320
18.9,63.2,6.2,8,13.9,5,1.09,10.3,410
30.9,92.5,24.3,29.7,34.9,18,1.64,9.1,678
31.7,67.7,7,11,26.8,7,1.18,10.4,530
30.6,49.5,26.5,30.3,16.7,5.6,1.02,11.4,217
26.6,74.9,9.6,13.4,21.3,9.3,1.13,10.5,327
40.9,106.7,156.8,172.3,30.5,24.7,1.7,5,862
39,96.8,50.1,61.3,48.3,29.6,2.64,3.4,755
25.7,69.3,15.7,25,27.7,10.6,1.44,9.5,482
33.7,85,5.4,21.5,34.2,9.5,1.1,7.5,687
26.5,67.6,18.4,29,40,12.3,2.17,4.1,598
20.5,47.4,1.4,6.6,17.7,6.6,1.08,13.2,427
23.7,40,20.7,23,20.4,6.2,1.05,12.5,318
31.3,75,37.8,47.1,32.6,11,1.87,5.6,451
30.8,60.3,1.1,3.6,21.2,5.1,0.96,11.4,470
29.3,70.6,44.1,60.3,27.4,8.6,1.09,5.5,365
24.3,67.2,7.3,11.5,24.4,4,1.14,11.3,277
27.4,45.5,1.8,11.9,30.8,16.7,1.84,7.2,649
43,114.3,42.4,61.6,30.4,11.7,2.51,3.5,567
25.7,72.9,2.1,1,23.5,3.3,1.04,11,415
36.4,61.5,35.3,30.1,28.7,6.4,1.1,5.7,312
27.4,67.3,41.8,52.9,22.4,12.4,1.65,9.6,446
31.1,83.6,15.4,25.6,34.7,6.7,1.43,6.4,376
26.4,62.1,7.1,10.1,19.2,5.9,1.06,12.2,437
36.4,64.6,78,82.6,27.2,5.8,1.5,9,412
21.2,59.5,6.5,9.8,22.9,5,1.09,10.5,595
24.3,59.4,2.9,9.1,12.2,1.8,1.07,10.1,411
29,70.1,28.8,40.1,23.1,0.8,1.54,7,531
35,72.3,38.4,47.6,28.4,5.5,1.24,7.6,640
22.9,66.9,7.8,16.3,21.8,8.1,1.07,10,435
29.3,86.8,62.8,74.6,23.6,13.1,1.62,5.1,564
36.2,84,4.2,16.3,26.7,5.7,1.75,14.6,640
20.6,63.5,14.1,23.5,30,8.3,1.54,6.1,646
30.1,91,32.1,38.5,23.7,10.6,1.44,6,363
37.8,73.1,0.2,26.8,37.5,25.7,1.28,2.8,631
20,79.1,1.4,3.5,22.5,4.8,0.89,10.3,407
36.1,87.2,76.7,98.2,35.3,27.6,2.5,3.5,771
21.8,57.2,12.7,17.4,25.6,3.7,1.25,16.9,450
27.4,79.5,27.5,31.7,31,11.2,1.35,5.3,367
34.4,86.3,28.4,50.6,34.5,42.3,2.28,3.2,685
27.1,56.4,52.6,60.5,26.8,7.7,1.33,11.9,428
30.1,51.5,9.4,14.9,13.8,2,0.97,10.2,240
23.7,73.8,3.1,4.2,11.1,4.1,0.97,14.5,447
37.3,85,9.6,23.9,31.2,16.2,2.22,4.9,592
37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560
30.3,60.5,6.5,11.1,16.5,6,1.07,14.9,307
39.2,70.1,27.4,40.3,41,11.1,1.91,3.6,511
33.1,72,30.3,48.8,30.8,11.8,1.12,6.2,341
26.1,81.9,9.5,19.1,36.1,14.8,1.62,5.9,455
37.2,91.9,0.1,14.3,39.2,21.2,1.6,3.5,435
22.7,49.7,18.4,27.1,20.4,6,0.92,10.5,565
23.6,84.3,8.8,20.2,33.2,9.2,1.23,9.1,477
28.1,66.3,51.2,69.9,23.9,13.7,1.61,5,653
44,100.4,55,76.2,23.8,18.6,2.12,4.3,535
33.8,81.1,7.3,21.3,38.8,22,2.35,6.3,693
27.8,75.4,6,14.4,16.8,12.8,1.47,5.7,539
39.6,74.9,1.1,22.8,29,21.5,1.69,4.6,587
29.6,46.4,14.2,16.9,11.8,6.5,1,11.8,382
26.6,77.5,6.3,11.5,11.8,7,1.15,10.1,245
29.5,62.5,55.2,63.2,30.6,25.9,1.84,3.4,688
25.3,64.5,30.9,47.8,27.8,11.3,1.63,5.3,389
29.4,60.4,10.7,14.9,11.2,2.4,1.03,11.2,363
24.5,44.8,21.1,29.1,23.9,6.7,0.95,17.8,491
25.4,75.7,17.5,29.2,18.7,11.8,1.45,7,462
35.2,57.6,46.5,59,22.3,4.7,1.37,5.3,650
41.2,92.2,36.1,49.5,42.2,17.1,2.39,2.7,815
25.2,44.3,5.5,12.4,22,3.4,1.06,10.1,470
28.5,74.4,14.1,30.3,33.8,23.3,2.45,3.6,422
26.1,83.8,33.2,36.9,23.6,2.7,0.82,19.1,310
26.2,56.5,20.4,28.2,14.2,-0.4,0.88,12.4,427
42.2,73.2,6.5,20.3,53.8,23.7,2.41,3.7,633
23.8,62.8,27,40.5,29.6,3.6,1.74,6.5,417
39,92.4,1.7,3.6,31.7,4.8,1.19,7,428
28.4,45.1,9.7,15.9,23,6.5,0.99,12.6,303
27.6,69.8,16.8,30,27.7,8.9,1.74,12.2,564
26.2,64.8,3.2,11.1,24.5,8.6,0.89,10.3,427
22.6,72,40.4,46.2,14.6,4.5,1.04,14.8,270
25.3,54.9,0.8,6.8,27.7,4.6,0.99,12,279
49.6,87.5,81.9,87,40.4,18.4,2.14,2.9,631
26.7,48.8,20.7,26.9,11.6,5.3,0.97,10.6,385
25.3,40.1,0.6,4.5,23.8,6.5,1.09,12.3,444
23.5,70.8,4.6,13.3,35.7,4.8,1.45,12.5,345
21.6,71.5,1.3,6.5,23.8,4.8,0.89,13.8,384
30.5,76.2,9.3,19.7,32.2,6.5,1.97,6.6,424
23.6,53.4,13.5,20.5,15.8,2.5,0.98,11.3,235
30.1,78.4,6.5,24.9,28.8,6.6,1.98,7,569
32.4,64.3,58.1,74.1,14.2,9.7,1.41,5.5,489
33.3,66.3,13.6,25.8,19.3,12.9,1.41,8.4,460
33.2,49.8,1.4,23.3,23,25.8,2.06,6.8,730
27,54.9,1.5,5.6,16.1,3.5,0.96,11.6,482
29,80.3,5.4,11.2,19,4.6,1.01,10.1,538
31,63.5,5.4,13.4,26.9,15.4,1.56,5.1,446
27.2,66.4,13,16.3,23.5,4.9,1.08,14,428
41.9,100.5,93.8,116.9,41.8,4.7,2.75,6.9,827
44.4,70,7.1,19.5,23.3,11.6,1.71,5.1,762
20.1,41.7,3.6,8.2,23.2,9.1,0.97,10.4,370
23.8,77.4,5.1,10.1,13,7.9,0.84,10.1,315
30.1,86.2,18.7,27.7,33.4,9.3,1.57,5,479
33.1,80.3,28.6,49.4,27.8,15.3,1.46,5.6,609
23.6,60.7,2.9,6.9,15.8,3,1.09,12.4,506
21.6,75.4,32.4,44.1,34.8,15.7,1.09,3.5,580
24.6,48.9,6.5,14.6,17,4.6,0.96,12.1,264
21,70.6,8.1,10.4,25,4.5,0.88,10.1,220
15.5,64.8,19.6,23.4,25.5,4.6,0.91,11.1,230
31.6,67,10.3,22,31.4,1.7,1.3,5.4,513
38.9,56.6,151.2,161.2,41.8,11.3,2.27,5.4,549
28.9,73.1,5.6,10.3,17,5.6,1.02,10.8,303
25.9,78.4,27.5,33.5,26,4.3,1.03,11.2,360
26.3,62.6,1.1,9.1,15.1,8.7,1.08,12.4,531
38.1,79.6,32,40.8,27.7,11.6,1.45,6.3,411
16.7,52.9,0,7.3,19.9,6.9,0.95,11,229
22.8,57.6,7.4,12.6,17.5,7.7,0.86,11.5,509
22.8,61.5,5.1,14.2,22.1,2.5,0.98,10.7,489
40.9,81.8,0.7,15.7,27.7,17.9,1.82,5.9,577
16.6,38.7,4.1,8.5,19.8,5.4,0.95,15.6,264
43.1,102.6,8.2,30.7,37,33.2,2.36,4.9,782
29.6,75.1,6.1,14,25.6,9.5,1.52,8.2,649
36.5,78.5,4.7,11.3,30.3,13.9,1.33,6.5,412
44,84.1,39.5,73,38.9,12.9,2.48,4,530
36.9,84.6,58.5,75.7,39.1,13.1,1.96,4.6,609
26.9,81,8.9,15.8,27.3,9.5,1.39,5.9,620
21.6,53.1,45.7,49.9,16.5,6.5,0.88,10.7,348
32.1,62.6,47.9,59.1,30,7.9,1.48,7.1,414
29.3,67,53.8,67,18.1,13.3,1.3,9.1,336
43.6,104.2,64.7,85.9,38.6,4.5,2.72,5.8,676
19.8,61.8,20.4,28.4,25.2,5.4,1.07,11.8,504
38.2,78.2,21.3,45.1,29.2,16.5,1.66,4.2,600
35.2,82.6,24.9,43.4,36.3,8.1,1.99,5.7,419
31.7,51.8,30.9,45.9,21.7,7.4,1.08,6.9,460
36.2,128.1,28.3,47,46.8,23.3,1.99,3,485
28.3,52.1,5.1,9.8,19.3,2.7,0.9,10.9,271
42.7,63.3,82.1,103.4,45.4,29.3,2.26,7.4,747
