"Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Industrial_Vicinity","Population_Density"
29.9,69.7,4,13.5,25.5,10.5,1.52,11.8,668
25.2,62.9,4.1,12.3,27.6,8.4,1.03,10.9,276
32.5,85.1,24.8,46.3,29.1,13.2,1.89,5.9,599
26.8,67.2,7.9,17.1,25.1,6.7,0.99,11.9,547
18,53.4,13.8,18.3,24.9,4.9,1.09,13.4,231
23.1,60.1,1.5,8,19.3,6.3,1.08,13.3,340
30.3,82.2,64,77,25.2,9.1,1.16,6.1,338
26.5,58.1,10.7,15,24.3,2.5,0.98,13,220
22.5,43.6,11.8,16.3,13.2,5.4,0.99,10.5,307
38.4,99.1,31,52.7,32.7,18.1,2.13,4.7,646
40.9,62.4,19,36.7,36.1,20.9,2.3,8.1,518
19.6,55.5,0.1,3.9,18.9,5.3,1.1,10.6,198
35.4,84.6,34.1,42.9,23.9,9.4,1.63,9.1,629
36.5,81.1,14.2,34.5,37.1,11.8,1.91,4.3,610
25.5,68.4,54.1,64.4,30.8,0.7,1.81,5.7,671
36.5,89.2,40.9,61,25,1.8,1.85,3.5,687
28.7,66.8,7.3,15,17.2,15.1,1.28,5.6,593
24.9,38.5,14.3,19.5,22.6,5.5,0.88,10.5,369
26.6,54.5,3.9,10.3,24.2,5.5,1.09,10.3,580
22.6,41.7,5.7,12.1,21.5,6.1,0.85,10.3,407
32.7,88.6,21.4,45,28.7,11.7,1.96,6,482
20.4,43.9,11.8,15.9,25.7,9,1.06,13.8,480
34.2,81.2,30.3,40.5,31.5,19.6,1.48,5.5,551
38.6,54.8,38,48.2,22.1,16.5,1.63,6,437
28.7,45.3,42.8,47.4,11.7,2.9,1.04,19.3,577
35.6,57.6,19.4,33.5,35.1,10,1.57,5.1,424
30.1,80.9,4.6,15.3,29.6,9.6,1.71,5.2,332
41,80.9,27.8,56.5,43.4,23.8,2.95,8.4,556
21.9,48.7,3.6,7,25.1,1.1,0.99,11.2,247
24.7,65.4,0,2.3,21.9,3.9,0.99,13.7,410
29.4,75.1,11.9,20.3,26.6,9.1,1.04,20,443
22.2,53.1,13.8,15,21.5,4.1,1.06,14.5,276
32.4,56,3.3,15.6,28.8,6.5,1.49,7.6,506
28,86.9,7.1,16.5,19.6,7.8,1.77,5.7,665
39.3,59.7,78.3,94.6,42.2,17.3,2.19,3.5,582
28.3,82.6,18.2,25.7,29,6.7,1.49,6.1,563
35.7,91,49.9,50.3,19,15.4,1.94,4.2,539
32.2,65.9,1.3,20.9,46.3,21,1.82,4.8,634
26.8,76.1,3.8,10.1,25.1,4.7,1.01,10.3,394
27.1,66.8,11.1,15.6,16.1,5.7,0.98,11.1,346
33.3,98.3,36.1,67.4,50.4,2.1,2.52,2.9,494
24.7,85.3,10.8,24.6,39.9,9.7,2.08,15.5,638
31.6,88.9,24.1,40.1,39.4,11.2,2.06,6,474
37.7,107.5,22.7,53,37.1,25.3,2.58,5.1,543
33.5,77.4,14.6,23.4,29.4,7.5,1.59,6.1,480
29.6,46.2,0.8,4.4,26.8,3.6,1.03,11.9,300
37.3,61,67.6,72,22.7,10.3,1.6,9.3,582
23.5,51.9,5.2,15,14.4,0.5,1.41,5.9,475
37.9,89.7,3.1,18.3,36.7,4.7,2.72,2.6,592
25.7,71.4,13.9,18.5,22.2,6.4,1.41,7.7,520
28.2,49.3,40.9,48.4,21.3,8.8,1.64,11.6,617
